PDB_ID,overlap_ratio
4zux,1.0
6buz,1.0
6hts,1.0
6r25,1.0
6wkr,1.0
7at8,1.0
7c0m,1.0
7k6p,1.0
7k6q,1.0
5z3o,0.9090909090909091
6iro,0.9090909090909091
6k1p,0.9090909090909091
6vz4,0.9090909090909091
5x0y,0.9
6kw5,0.9
5z3v,0.8888888888888888
6r8z,0.875
6r90,0.875
6r92,0.875
6s01,0.875
6r8y,0.8571428571428571
6jyl,0.8333333333333334
5z3t,0.8181818181818182
5z3u,0.8181818181818182
6iy3,0.8181818181818182
6c0w,0.8
7crr,0.8
7bxt,0.7857142857142857
6iy2,0.7692307692307693
5z3l,0.75
6ftx,0.75
6kw4,0.75
6muo,0.75
6w5n,0.75
6g0l,0.7391304347826086
6mup,0.7368421052631579
6ne3,0.7333333333333333
6uxw,0.7272727272727273
6yov,0.7142857142857143
7cro,0.7142857142857143
5o9g,0.6923076923076923
6pwf,0.6923076923076923
6kiv,0.6666666666666666
6kix,0.6666666666666666
6kiz,0.6666666666666666
6r1u,0.6666666666666666
7ccr,0.6666666666666666
6r91,0.625
7crq,0.5833333333333334
6gen,0.5789473684210527
4r8p,0.5714285714285714
7crp,0.5714285714285714
6gej,0.5555555555555556
6ryr,0.55
6kw3,0.5384615384615384
6ryu,0.5384615384615384
6kiu,0.5
6nzo,0.5
6px3,0.5
6pwv,0.48484848484848486
6z6p,0.4444444444444444
6pwx,0.4230769230769231
6pww,0.4074074074074074
3tu4,0.4
6a5p,0.4
7bwd,0.3333333333333333
7k7g,0.3333333333333333
6j4w,0.32142857142857145
6fml,0.2962962962962963
6vyp,0.2857142857142857
6i84,0.25
5x0x,0.23076923076923078
6pa7,0.2
6y5d,0.2
6a5o,0.10526315789473684
3mvd,0.1
5hq2,0.0
6kiw,0.0
6t90,0.0
6ugm,0.0
6uh5,0.0
6ven,0.0
6usj,0.0
6x0n,0.0
6y5e,0.0
7ccq,0.0
